Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8, Oil PSI,Fuel PSI,Digital Output #1,Digital Output #2,Digital Output #3,Digital Output #4,Digital Output #5,Digital Output #6,Digital Output #7,Digital Output #8,Digital Output #9,Digital Output #10,Injector Over Current #1,Injector Over Current #2,Injector Over Current #3,Injector Over Current #4,Injector Over Current #5,Injector Over Current #6,Injector Over Current #7,Injector Over Current #8,Coil Over Current #1,Coil Over Current #2,Coil Over Current #3,Coil Over Current #4,Coil Over Current #5,Coil Over Current #6,Coil Over Current #7,Coil Over Current #8,System Temperature (F),Sensor Error,Open Time Clip,Charge Time Clip,Non Driven Wheel Speed #1 (MPH),Non Driven Wheel Speed #2 (MPH),Avg Non Driven Wheel Speed (MPH),Measured AFR #1,Measured AFR #2,Target AFR,Measured #1-Target (AFR),Measured #2-Target (AFR),Lambda/AFR Status,Lambda/AFR STF #1 (%),Lambda/AFR STF #2 (%),Lambda/AFR LTF (%),Fuel Status,Ignition Status,
0.000,1226,104.2,187.0,20.8,13.96,12.00,5.88,2.2,530.0,1,1,0,0,0,1,0,0,0.00,42.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.71,14.70,5.29,5.01,34824,100.0,100.0,100.0,0,0,
0.009,1226,104.2,187.0,21.8,13.88,12.00,5.88,2.2,530.0,1,1,0,0,0,1,0,0,0.00,42.38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.65,14.70,5.29,4.95,34824,100.0,100.0,100.0,0,0,
0.019,2023,104.2,187.0,22.7,13.80,12.00,5.47,5.6,530.0,1,1,0,0,0,1,0,0,0.00,42.31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.74,14.70,5.29,5.04,34824,100.0,100.0,100.0,0,0,
0.029,2023,104.2,187.0,23.4,13.79,12.10,5.47,5.6,530.0,1,1,0,0,0,1,0,0,0.00,42.69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.65,14.70,5.29,4.95,34824,100.0,100.0,100.0,0,0,
0.038,2023,104.2,187.0,23.9,13.93,12.10,5.47,5.6,530.0,1,1,0,0,0,1,0,0,0.00,42.38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.70,14.70,5.29,5.00,34824,100.0,100.0,100.0,0,0,
0.048,2095,104.2,187.0,24.3,13.88,12.20,4.58,7.7,530.0,1,1,0,0,0,1,0,0,0.00,42.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.73,14.70,5.29,5.03,34824,100.0,100.0,100.0,0,0,
0.060,2095,104.2,187.0,24.6,13.81,12.30,4.58,7.7,530.0,1,1,0,0,0,1,0,0,0.00,42.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.64,14.70,5.29,4.94,34824,100.0,100.0,100.0,0,0,
0.070,2288,104.2,187.0,24.7,13.79,12.30,4.56,8.0,530.0,1,1,0,0,0,1,0,0,0.00,42.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.73,14.70,5.29,5.03,34824,100.0,100.0,100.0,0,0,
0.080,2288,104.2,187.0,24.7,13.77,12.40,4.56,8.0,530.0,1,1,0,0,0,1,0,0,0.00,42.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.99,19.67,14.70,5.29,4.97,34824,100.0,100.0,100.0,0,0,
0.089,2288,104.2,187.0,24.7,13.83,12.40,4.56,8.0,530.0,1,1,0,0,0,1,0,0,0.00,42.38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.86,19.67,14.70,5.16,4.97,34824,100.0,100.0,100.0,0,0,
0.099,2444,104.2,187.0,24.8,13.70,12.40,4.52,8.6,530.0,1,1,0,0,0,1,0,0,0.00,42.56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0.0,0.0,0.0,19.73,19.70,14.70,5.03,5.00,34824,100.0,100.0,100.0,0,0,
